Feature_1_city_match,Feature_4_ZCSC,Feature_5,Feature_6,Feature_8_unknow_flag,Feature_8_IOS_flag,Feature_8_android_flag,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_21,Feature_25,Feature_27,Feature_31,Feature_33,Feature_38,Feature_47,Feature_51,Feature_55,Feature_58,Feature_64,Feature_66,Feature_68,Feature_73,Feature_75,Feature_77,Feature_80,Feature_82,Feature_87,Feature_88,Feature_91,Feature_99,Feature_100,Feature_106,Feature_108,Feature_109,Feature_110,Feature_112,Feature_113_zhuanche_PayPer_12,Feature_122,Feature_123,Feature_125,Feature_127,Feature_131,Feature_135,Feature_136,Feature_143,Feature_148,Feature_168,Feature_169,Feature_173,Feature_177,Feature_183,Feature_189,Feature_192,Feature_193,Feature_205,Feature_206,Feature_209,Feature_213,Feature_216,Feature_232,Feature_233,Feature_241,Feature_242,Feature_256,Feature_257,Feature_318,Feature_330,Feature_334,Feature_338
1,54.8,1,29,0,0,1,0,1,12,20,3,11,0.0655,274.98,9.8207,9.4573,0.5,2.1667,0.0774,0.1448,0,8,0.1131,9,0.2045,216.03,384.23,0.1853,8,0.1888,0,66,2218.66,4617.7,787.71,4275.31,189.5,787.71,4225.18,0.011725466,0.9514,0.9085,0,52.43,735.28,0,0,19,114,0.125,0.125,220,0.9865,1,3,0,0.0135,41,0.5,0.1962,0,0,1,1,0,3,0,0.0114,0,0,0.1131,0.1131
0,54.5667,1,-99,0,1,0,0,1,8,8,1,0,0,439.35,8.2896,7.9518,9,2.725,0.0216,0.0677,0,3,1,10,0.191,159.89,455.3,0.1958,6,0.2037,0,95,2026.15,2690.3,1097.27,2782.29,328.81,1051.42,2592.43,0.068238753,0.9729,0.9672,22.4,21.11,1053.76,0,0,44,126,0.0093,0.0072,153,0.9444,0.9811,9,0.0635,0.0556,22,0.3043,0.1366,0,0,1,1,0,13,-99,-99,0,0,0.0288,0.0288
1,54.5333,1,-99,1,0,0,0,0,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,53.6,1,27,0,0,1,0,0,13,15,1,2,0.04,41,3.1538,4.2092,0,0,0,0,0,2,0.12,1,0.25,23.48,50.66,0.362,1,0.2704,0,30,489.77,757.58,77.77,464.44,11.64,77.77,500.18,0,0.5093,0.5928,0,77.77,0,0.3,1,7,44,0.0278,0.12,58,1,1,0,0,0,8,0.3333,0.1379,0,0,0,0,1,2,-99,-99,0,0,0.14,0.16
0,53.4333,1,29,0,0,1,0,0,21,22,3,16,0.0473,195.8,6.1188,3.8665,0,0.9,0,0,0,2,0.0059,11,0.2367,198.27,865.47,0.2431,10,0.2347,0,116,2245.36,3840.19,549.16,3909.17,160.71,486.91,3735.2,0.044503053,0.9389,0.9618,53.63,0,495.53,0.1,0,23,199,0,0,399,0.9732,0.875,11,0.0503,0.0268,72,0.25,0.1756,0,0,1,1,0,5,-99,-99,0.003,0.003,0.074,0.0828
1,53.2333,1,29,0,1,0,1,0,-99,-99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,52.9667,1,28,0,1,0,0,1,16.5,20,1,18,0.0882,634.95,8.6979,7.4414,18.3,2.3571,0.0245,0.112,0.0136,6,0.1373,19,0.2003,792.25,1098.68,0.2054,15,0.2071,14,97,860.74,1636.98,2463.93,5160.75,85.9,236.8,1588.82,0.692133895,0.9244,0.9093,404.81,2059.12,0,0.1,0,45,433,0.0136,0.0098,279,0.426,0.0822,376,0.7783,0.574,447,0.6593,0.6866,0,0,1,1,0,18,0.1644,0.1497,0,0,0.4314,0.4314
1,52.7667,1,27,0,1,0,0,0,-99,-99,1,0,0,7,7,10.1333,9.5,9.5,0.0476,0.1167,0.1667,1,0,1,0.3333,17.28,62.81,0.3138,1,0.3333,0,5,294.66,538.31,17.28,508.28,0,17.28,508.28,0,0.8496,0.9364,0,0,17.28,0,0,3,10,0,0,33,1,1,0,0,0,12,1,0.3636,0,0,1,1,0,0,-99,-99,0,0,0.0952,0.0952
1,52.8,1,-99,0,0,1,0,0,-99,-99,1,0,0,0,0,12.245,0,0,0,0,0,1,0,0,1,0,0,0.5173,0,1,0,2,143.5,196.6,0,59.98,0,0,59.98,0,0,0.7671,0,0,0,0,1,0,2,1,1,7,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,52.6,1,35,0,1,0,1,0,14,15,1,8,0.0825,210.6,6.5813,5.7981,1.3,1.3,0.0103,0.0364,0,3,0.0722,7,0.2531,143.36,179.14,0.2669,7,0.2583,0,30,970.13,1848.9,676.05,1783.31,382.95,676.05,1783.31,0,0.9783,0.978,67.95,608.1,0,0.2,0,24,53,0,0.1753,116,1,1,0,0,0,17,0.1,0.1491,0,0,1,1,0,11,0,0,0,0,0.9072,0.9175
1,52.6,1,28,0,0,1,0,0,14,16,1,13,0.0783,176.5,9.8056,8.2213,3.4,1.575,0,0,0,6,0.1205,4,0.2278,61.18,335.07,0.246,4,0.2215,0,18,979.14,3472.01,515.59,3579.07,234.2,515.59,3340.35,0.066698891,0.9904,0.9662,0,0,515.59,0,0,16,42,0.0286,0.012,194,0.9604,1,8,0.0238,0.0396,32,0,0.1616,0,0,0.9143,0.9819,0.0181,6,0,0,0,0,0.0964,0.0964
1,52.5667,1,-99,1,0,0,0,0,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,52.5667,1,-99,0,1,0,0,0,-99,-99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,52.4667,1,-99,0,1,0,0,0,-99,-99,1,0,0,16.8,3.36,6.2333,1.9,1.9,0,0,0,1,0,2,0.2444,34.3,148.66,0.3246,2,0.2347,0,13,163.17,163.17,67.87,331.28,0,26,154.68,0.533083796,0.8128,0.9196,0,0,67.87,0,0,5,20,0,0,16,0.7619,0.6,5,0.25,0.2381,6,0,0.2857,15,1,0,0,0,0,-99,-99,0,0,0.1333,0.1333
1,52.2333,1,33,0,1,0,0,0,18,18,1,0,0,39.5,5.6429,4.3185,2.5,1.55,0,0,0,2,0.0769,4,0.3333,53.72,0,0.3158,4,0.3163,0,14,179.65,298.1,85.43,263.4,31.71,85.43,263.4,0,0.8682,0.8488,0,0,85.43,0,0,7,22,0,0,33,1,1,0,0,0,6,0,0.1875,0,0,1,1,0,3,-99,-99,0,0,0.3462,0.3462
1,52.2333,1,-99,1,0,0,0,0,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,52.1,1,37,0,1,0,1,1,12,12,1,7,0.0565,237.72,18.2862,22.5926,10.8,4.025,0.0161,0.02,0.0323,3,0.0403,1,0.205,35.51,285.23,0.2227,1,0.2012,0,22,1111.69,5894.27,534.57,5881.71,273.96,505.45,5832.51,0.008364914,0.9306,0.9117,218.89,315.68,0,0.3,0,17,48,0,0.0081,177,0.9779,0.9231,4,0.0625,0.0221,51,0.25,0.2914,0,0,1,0.9919,0.0081,6,0.0769,0.0645,0.0081,0.0161,0.9274,0.9516
1,51.9667,1,28,0,0,1,1,0,-99,-99,1,12,0.1034,0,0,8.0404,0,2.2,0,0,0,2,0.0172,0,0.4688,0,69.32,0.3644,0,0.4688,0,5,257.87,2552.39,0,2365.38,0,0,2365.38,0,0,0.8743,0,0,0,0,0,0,14,0,0,190,0.9948,0,1,0.0714,0.0052,75,0,0.3927,0,0,1,1,0,0,0,0,0.0086,0.0172,0.7155,0.75
1,51.9667,1,-99,1,0,0,0,0,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,51.9,1,29,0,1,0,0,0,-99,-99,1,1,0.25,28.43,7.1075,7.1075,0,0,0,0,0,1,0,2,0.5,20.99,0,0.5406,2,0.5,0,4,67.2,67.2,58.7,58.7,0,58.7,58.7,0,0.8735,0.8735,16.8,0,41.9,0,0,4,5,0.5,0.5,5,1,1,0,0,0,1,1,0.2,4,1,0,0,0,0,-99,-99,0,0,0.5,0.5
1,51.8667,1,34,0,0,1,1,1,-99,-99,3,0,0,2.7,1.35,3.6429,0,0,0,0,0,1,0,2,0.375,26,13.66,0.3543,2,0.375,0,1,64.64,109.78,26,107.36,0,26,107.36,0,1,0.9626,26,0,0,0,0,1,5,0,0,9,1,1,0,0,0,2,0,0.2222,0,0,1,1,0,0,-99,-99,0,0,0.2857,0.2857
0,51.7667,1,-99,0,0,1,1,0,-99,-99,1,0,0,0,0,12.5647,0,0,0.1176,0.1669,0,4,0.4118,0,0.7551,0,0,0.7023,0,0.7551,0,6,249.24,565.57,0,547.55,0,0,547.55,0,0,0.9881,0,0,0,0,0,0,8,0.2857,0.1176,19,1,0,0,0,0,1,0,0.0556,0,0,0,0.1176,0.8824,0,0,-99,0,0,0.1765,0.1765
0,51.7333,1,-99,0,1,0,0,0,12,21.5,1,9,0.0738,234.49,9.0188,13.5455,19.7,12.2077,0.3689,0.6018,0.0476,12,0.7377,1,0.1988,9,276.48,0.2319,1,0.1985,0,60,1888.56,5130.8,518.36,5010.93,224.71,518.36,4919.24,0.018298001,0.9855,0.972,0,0,232.55,0.4,0,17,98,0.0159,0.0082,194,0.97,1,6,0.0204,0.03,76,0.1429,0.3838,0,0,1,1,0,6,0,0,0,0,0.623,0.6311
1,51.7333,0,26,0,1,0,0,0,13,13,1,0,0,150.93,7.5465,6.5241,4.5,1.5952,0,0,0,5,0.0488,7,0.199,112.34,122.91,0.1779,6,0.1874,0,32,794.15,1295.57,344.91,1249.57,86.12,333.21,1237.87,0.009363221,0.9619,0.9379,226.35,118.56,0,0,0,18,54,0.0667,0.0732,99,0.9802,0.95,2,0.0185,0.0198,16,0.1429,0.1633,17,0.3111,0,0,0.7927,6,-99,-99,0,0,0.1098,0.1098
1,51.7,1,-99,1,0,0,0,0,-99,-99,-99,0,0,13.9,6.95,7.266,0,0,0,0,0,1,0,1,0.375,33.7,0,0.3484,1,0.375,0,3,12.75,12.75,57.35,131.3,0,0,12.75,0.902894136,0.9958,0.9316,0,0,57.35,0,0,3,6,0,0,1,0.1429,0,6,0.8333,0.8571,2,1,0.2857,0,0,0,0,1,0,-99,-99,0,0,0,0
1,51.7,1,33,0,0,1,1,1,-99,-99,2,0,0,0,0,6.6277,1.1,1.1,0,0,0.5,3,0.1538,0,1,0,0,1,0,1,0,2,43.56,314.51,0,304.42,0,0,304.42,0,0,0.9309,0,0,0,0,0,0,2,0,0.1538,17,1,0,0,0,0,3,0,0.1875,0,0,1,1,0,0,0,-99,0,0,0.3077,0.3077
1,51.7,1,-99,0,1,0,0,1,12,13.5,1,1,0.0073,229.57,5.2175,6.4901,2.3,2.3625,0,0,0,1,0,7,0.2091,113.58,363.56,0.2152,5,0.2004,0,74,1265.54,2429.46,638.24,2377.11,170.15,638.24,2349.38,0.011665426,0.9669,0.9575,0,638.24,0,1.5,0,31,106,0,0,176,0.9944,1,1,0,0.0056,33,0.2143,0.1941,0,0,0.0128,0.0073,0.9927,8,0,0,0,0,0.0365,0.0365
1,51.6667,1,-99,0,0,1,0,0,-99,-99,1,0,0,0,0,6.1667,0,0,0,0,0,1,0,0,-99,0,0,-99,0,-99,0,0,0,38.7,0,36.7,0,0,36.7,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.3333,0.3333
0,51.6333,1,-99,0,0,1,0,0,-99,-99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,51.6333,1,-99,0,1,0,1,0,-99,-99,1,0,0,0,0,5.32,0,0,0,0,0,1,1,0,-99,0,0,-99,0,-99,0,0,0,18.42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,51.6333,1,33,0,1,0,1,0,-99,-99,1,4,0.2,35.45,11.8167,15.633,0,0,0,0,0,1,0,2,0.2188,86.2,56.2,0.2494,2,0.2188,0,5,321.54,1059.4,102.5,1065.44,0,102.5,1031.04,0.03228713,0.9606,0.9158,86.2,16.3,0,0,0,3,9,0.25,0.1,22,0.9565,1,1,0.1111,0.0435,3,0,0.1304,0,0,1,1,0,0,-99,-99,0,0,0.8,0.8
0,51.6333,1,27,0,1,0,0,0,-99,-99,1,0,0,20.4,5.1,6.5932,0.5,0.5,0,0,0,4,0.7895,2,0.2653,36.35,30.97,0.273,2,0.2653,0,5,115.94,338.93,69.12,307.12,0,69.12,307.12,0,0.9726,0.9832,0,0,69.12,0,0,3,10,0,0,22,1,1,0,0,0,3,0,0.1364,0,0,0,0,1,0,-99,-99,0,0,0.4211,0.4211
1,51.5333,1,31,0,0,1,0,1,12,20,2,1,0.0213,278.01,16.3535,14.3072,10.8,9.4875,0,0,0.0323,3,0.1702,3,0.2466,76.65,113.26,0.2827,3,0.2485,10,19,1158.7,1621.75,748.32,1693.81,285.6,506.68,1424.75,0.158848985,0.8788,0.8837,0,134.47,613.85,0.3,0,11,49,0.1613,0.2128,69,0.92,0.7647,6,0.1224,0.08,23,0.2143,0.3286,0,0,1,1,0,5,0,0,0.0213,0,0.0851,0.1064
1,51.5333,1,-99,0,1,0,0,0,9,9.5,1,0,0,85.8,5.72,4.2635,13.6,13.6,0,0,0,1,0,6,0.4187,262.57,0,0.4563,3,0.405,0,16,203.82,307.36,442.84,684.75,160.47,172.47,303.41,0.55690398,0.9889,0.9887,0,0,442.84,0,0,25,44,0,0,57,0.7403,0.6,20,0.2955,0.2597,45,0.5263,0.5921,2,0.0588,0,0,0.9355,8,0.0667,0.0588,0,0,0.2258,0.2258
1,51.4667,1,-99,0,0,1,1,0,16,19,1,4,0.0588,817.5,12.0221,12.0221,2.8,1.6,0,0,0,1,0,20,0.3633,682.35,0,0.3554,14,0.3541,0,47,1956.73,1956.73,2074.73,2074.73,695.01,1864.76,1864.76,0.10120353,0.9287,0.9287,2074.73,0,0,0.4,0,45,77,0.0294,0.0294,71,0.9221,0.9118,6,0.0779,0.0779,9,0.1622,0.1169,68,1,0,0,0,18,-99,-99,0,0,0.2206,0.2206
0,51.4,1,43,0,1,0,0,1,18,18,1,1,0.0056,178.1,5.9367,5.7806,5,1.8333,0,0,0,1,1,8,0.1831,135.19,176.28,0.1814,4,0.1746,0,56,1152.2,2853.45,494.03,2742.62,107.22,494.03,2742.62,0,0.9798,0.9616,38.06,455.97,0,1.7,0,28,84,0,0,209,1,1,0,0,0,28,0,0.1359,0,0,1,1,0,6,0,0,0,0,0.7303,0.7303
1,51.3333,1,-99,0,0,1,0,0,-99,-99,1,0,0,0,0,5.3975,0,0.8,0,0,0,2,0.25,0,-99,0,0,-99,0,-99,0,0,0,73.6,0,64.84,0,0,64.84,0,0,0,0,0,0,0,0,0,1,0,0,11,1,0,0,0,0,6,0,0.6,0,0,0,0,1,0,0,0,0,0,0.75,0.75
1,51.3,1,28,0,0,1,1,1,-99,-99,3,4,0.1081,21.2,10.6,8.6222,0,0,0,0,0,1,0,1,0.2778,70.04,33.32,0.2818,1,0.2778,0,6,82.4,992.49,101.04,1053.44,0,70.04,989.12,0.093816449,1,0.903,37.54,63.5,0,0,1,3,12,0,0.1081,45,0.9375,1,3,0.25,0.0625,11,0,0.2292,0,0,1,1,0,0,-99,-99,0,0,0.5676,0.5676
1,51.3,1,-99,0,0,1,1,1,-99,-99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,51.2667,1,25,0,1,0,1,1,17,17,2,4,0.0615,170.4,7.7455,11.0688,3,3,0.0154,0.0704,0,2,0.1077,3,0.2244,89.57,0,0.296,3,0.218,0,28,1275.41,2429.68,537.85,2317.29,229.33,537.85,2317.29,0,0.9026,0.9518,13.04,413.67,65.12,1.5,0,19,47,0,0.0462,89,0.9271,1,7,0,0.0729,31,0,0.3229,4,0.1053,0.8947,0.9385,0,11,-99,-99,0,0,0.3077,0.3077
0,51.2,1,30,0,0,1,0,1,14,15,1,16,0.1778,285.2,6.7905,6.1297,0,0.4,0,0,0.0167,3,0.2,13,0.2144,237.54,203.88,0.2129,7,0.2128,0,46,1064,1514.79,770.5,1467.54,269.55,770.5,1428.88,0.026343405,0.974,0.961,770.5,0,0,0,0,31,80,0,0,117,0.9915,1,1,0.0125,0.0085,28,0.0667,0.2373,90,1,0,0,0,10,0,0.0167,0,0,0.5111,0.5222
